,,name,count,p_count
CVM 금액 구분(쿼터),,1) 5000원,100,20.00%
,,2) 7000원,100,20.00%
,,3) 10000원,100,20.00%
,,4) 15000원,100,20.00%
,,5) 20000원,100,20.00%
성별,,1) 남성,198,39.60%
,,2) 여성,302,60.40%
연령대,,1) 만20-29세,25,5.00%
,,2) 만30-39세,141,28.20%
,,3) 만40-49세,235,47.00%
,,4) 만50-59세,99,19.80%
거주지역,,1) 서울,130,26.00%
,,2) 부산,33,6.60%
,,3) 대구,24,4.80%
,,4) 인천,35,7.00%
,,5) 광주,12,2.40%
,,6) 대전,17,3.40%
,,7) 울산,8,1.60%
,,8) 경기도,139,27.80%
,,9) 강원도,12,2.40%
,,10) 충청북도,11,2.20%
,,11) 충청남도,15,3.00%
,,12) 전라북도,5,1.00%
,,13) 전라남도,10,2.00%
,,14) 경상북도,15,3.00%
,,15) 경상남도,26,5.20%
,,16) 제주도,4,0.80%
,,17) 세종,4,0.80%
결혼 여부,,1) 예,418,83.60%
,,2) 아니오,82,16.40%
세대주 여부,,1) 세대주,306,61.20%
,,3) 세대주 배우자,194,38.80%
미취학 아동 또는 초등생 자녀 유/무,,1) 예,315,75.36%
,,2) 아니오,103,24.64%
최근 방문 여부,,1) 미술관,440,88.00%
,,2) 박물관,500,100.00%
,,3) 야구 경기장,363,72.60%
,,4) 축구 경기장,266,53.20%
,,5) 영화관,493,98.60%
박물관 방문 빈도,,1) 일년에 5회 이상 방문,77,15.40%
,,2) 일년에 5회 미만 3회 이상 방문,82,16.40%
,,3) 일년에 3회 미만 1회 이상 방문,172,34.40%
,,4) 일년에 1회 미만 방문,169,33.80%
박물관 방문 이유,,"1) 특정 전시물, 역사적 유물 등의 흥미로운 관람 목적",150,30.00%
,,2) 유물과 전시물을 통해 역사와 문화에 대한 교육적인 목적,139,27.80%
,,"3) 가족, 친구, 연인과의 여가 및 휴식 목적",201,40.20%
,,4) 자료 조사 및 연구 등 학습 목적,8,1.60%
,,5) 기타(구체적으로 응답해 주십시오),2,0.40%
박물관 방문시 불편한 점,,1) 전시 구성의 지루함 및 전시물에 대한 해설 부족,193,38.60%
,,2) 다른 관람객으로 인한 혼잡 및 소음,63,12.60%
,,3) 주차공간 부족 및 불편한 시설,38,7.60%
,,4) 집에서 먼 거리를 이동해야 하는 시간적인 문제,166,33.20%
,,"5) 관람료, 프로그램 참여 비용 등의 금전적인 문제",37,7.40%
,,6) 기타(구체적으로 응답해 주십시오),3,0.60%
최근 방문한 박물관의 만족도,,2) 불만족,12,2.40%
,,3) 보통,231,46.20%
,,4) 만족,241,48.20%
,,5) 매우 만족,16,3.20%
귀하는 메타버스에 대해 들어보신 적이 있으십니까?,,1) 네,451,90.20%
,,2) 아니요,49,9.80%
귀하는 메타버스에 대한 뉴스나 소식을 얼마나 자주 접하십니까?,,1) 일주일에 1-2회,69,13.80%
,,2) 한 달에 1-2회,265,53.00%
,,3) 거의 접한 적이 없음.,166,33.20%
귀하는 메타버스 서비스를 얼마나 자주 이용하십니까?,,1) 거의 매일 이용,8,1.60%
,,2) 일주일에 1-2회 이용,28,5.60%
,,3) 한 달에 1-2회 이용,103,20.60%
,,4) 거의 이용하지 않음,361,72.20%
귀하의 자녀분은 메타버스 서비스를 얼마나 자주 이용하십니까?,,1) 매일 이용,12,3.81%
,,2) 일주일에 3-4회 이용,27,8.57%
,,3) 일주일에 1-2회 이용,30,9.52%
,,4) 한 달에 1-2회 이용,75,23.81%
,,5) 거의 이용하지 않음,171,54.29%
귀하는 메타버스를 통해서 주로 하는 활동은 어떤 것입니까?,,1) 현실에서 경험하기 어려운 다양한 상황을 가상으로 체험할 수 있는 게임 활동,191,38.20%
,,2) 가상 세계에서 아바타를 통해 소통하고 관계를 맺을 수 있는 SNS 활동,67,13.40%
,,3) 전시 및 회사 업무를 가상의 세계에서 수행하는 가상 오피스 관련 활동,34,6.80%
,,4) 지역 축제 체험 및 대학교 입학식 등의 현실 세계의 활동을 가상의 세계를 통해 체험하는 활동,48,9.60%
,,5) 이용해 본 적 없음,160,32.00%
귀하의 자녀분은 메타버스를 통해서 주로 하는 활동은 어떤 것입니까?,,1) 현실에서 경험하기 어려운 다양한 상황을 가상으로 체험할 수 있는 게임 활동,94,29.84%
,,2) 재미있게 배우고 체험하는 메타버스 기반의 학습 및 교육 활동,78,24.76%
,,"3) 메타버스를 통해 친구들과 아바타로 소통하고, 같이 활동하는 친구 관계 활동",34,10.79%
,,"4) 아이돌 콘서트, 팬미팅 등 문화·공연 행사를 관람하는 활동",4,1.27%
,,5) 이용해 본 적 없음,105,33.33%
현재 메타버스가 본격적으로 활성화 되지 못하는 이유는 무엇이라고 생각하십니까?,,1) 낮은 해상도 및 속도로 현실을 표현하는 실재감 부족,107,21.40%
,,2) 이용할 수 있는 콘텐츠의 부족 및 수준 낮은 콘텐츠,254,50.80%
,,3) 상호 교류할 사용자의 부족,98,19.60%
,,4) 수집되고 이용되는 개인정보에 대한 보안 처리 미흡,41,8.20%
메타버스의 부정적인 기능은 어떤 것이라고 생각하십니까?,,1) 장시간 이용에 따른 중독 증상 및 건강 악화 문제,133,26.60%
,,2) 가상 세계에 안주한 현실 도피 문제,155,31.00%
,,3) 디지털 세계의 정보 침해 및 악용 문제,94,18.80%
,,4) 사이버 폭력 및 괴롭힘 심화 문제,49,9.80%
,,5) 디지털 지식 및 환경에 따라 발생하는 불평등 문제,69,13.80%
귀하는 메타버스 서비스에 관련해서 평소 어떤 입장이십니까?,,1) 현재 이미 완성되어 활성화되어 있는 서비스이다.,19,3.80%
,,"2) 계속 발전 중이며, 곧 서비스가 활성화 될 것이다.",348,69.60%
,,3) 산업적 실체가 없는 마케팅용어에 불과하다.,73,14.60%
,,4) 언론과 학계가 만든 허구적 개념이다.,6,1.20%
,,5) 모르겠다.,54,10.80%
귀하는 메타버스 박물관에 대해 들어보신 적이 있으십니까?,,1) 네,172,34.40%
,,2) 아니요,328,65.60%
귀하의 가족은 메타버스 박물관 서비스를 이용해 보신 적이 있으십니까?,,1) 네,65,13.00%
,,2) 아니요,435,87.00%
귀하는 메타버스 박물관 서비스에서 다음의 항목들이 얼마나 중요하다고 생각하십니까?,,,,
"
1. 나를 대변하는 캐릭터의 다양성 및 높은 표현의 자유도를 통한 개성 표출",q29,1) 전혀 중요하지 않다,16,3.20%
,q29,2) 중요하지 않다,54,10.80%
,q29,3) 보통이다,168,33.60%
,q29,4) 중요하다,217,43.40%
,q29,5) 매우 중요하다,45,9.00%
"
2. 다른 사용자들과의 편리한 소통을 지원하는 SNS 기능",q30,1) 전혀 중요하지 않다,9,1.80%
,q30,2) 중요하지 않다,29,5.80%
,q30,3) 보통이다,168,33.60%
,q30,4) 중요하다,240,48.00%
,q30,5) 매우 중요하다,54,10.80%
3. 내 박물관 꾸미기 등의 부가적 재미 요소,q31,1) 전혀 중요하지 않다,14,2.80%
,q31,2) 중요하지 않다,36,7.20%
,q31,3) 보통이다,156,31.20%
,q31,4) 중요하다,226,45.20%
,q31,5) 매우 중요하다,68,13.60%
4. 즐거움을 선사하는 사실적이면서도 화려하고 세련된 박물관 및 전시물에 대한 그래픽 요소 ,q32,1) 전혀 중요하지 않다,4,0.80%
,q32,2) 중요하지 않다,16,3.20%
,q32,3) 보통이다,95,19.00%
,q32,4) 중요하다,234,46.80%
,q32,5) 매우 중요하다,151,30.20%
5. 실제 박물관의 전시물을 관람하는 듯한 실감성을 통한 교육적 효과,q33,1) 전혀 중요하지 않다,4,0.80%
,q33,2) 중요하지 않다,10,2.00%
,q33,3) 보통이다,57,11.40%
,q33,4) 중요하다,180,36.00%
,q33,5) 매우 중요하다,249,49.80%
"6. AI도슨트, 가상 체험 서비스 등을 통한 정확하고 사실적인 정보의 전달",q34,1) 전혀 중요하지 않다,2,0.40%
,q34,2) 중요하지 않다,9,1.80%
,q34,3) 보통이다,80,16.00%
,q34,4) 중요하다,185,37.00%
,q34,5) 매우 중요하다,224,44.80%
"7. 탐험, 레벨업, 퀴즈 등의 게임 요소를 통한 학습, 교육에 대한 몰입도 증가",q35,1) 전혀 중요하지 않다,4,0.80%
,q35,2) 중요하지 않다,16,3.20%
,q35,3) 보통이다,116,23.20%
,q35,4) 중요하다,236,47.20%
,q35,5) 매우 중요하다,128,25.60%
8. 다양한 단말기의 지원을 통해 경제적 비용 최소화,q36,1) 전혀 중요하지 않다,2,0.40%
,q36,2) 중요하지 않다,12,2.40%
,q36,3) 보통이다,107,21.40%
,q36,4) 중요하다,226,45.20%
,q36,5) 매우 중요하다,153,30.60%
귀하는 지속적으로 발전하고 있는 AI 기술을 다음의 메타버스 박물관 기능에 적용하는 것이 ,,,,
1. 사용자 활동 분석을 통해 맞춤형 감정 인식 및 대응,q37,1) 전혀 중요하지 않다,6,1.20%
,q37,2) 중요하지 않다,15,3.00%
,q37,3) 보통이다,139,27.80%
,q37,4) 중요하다,280,56.00%
,q37,5) 매우 중요하다,60,12.00%
2. AI기반 지능형 NPC와의 상호작용을 통한 효율적인 학습,q38,1) 전혀 중요하지 않다,4,0.80%
,q38,2) 중요하지 않다,18,3.60%
,q38,3) 보통이다,133,26.60%
,q38,4) 중요하다,264,52.80%
,q38,5) 매우 중요하다,81,16.20%
3. 외국인 사용자와의 실시간 번역을 통한 커뮤니케이션 제공,q39,1) 전혀 중요하지 않다,4,0.80%
,q39,2) 중요하지 않다,17,3.40%
,q39,3) 보통이다,115,23.00%
,q39,4) 중요하다,232,46.40%
,q39,5) 매우 중요하다,132,26.40%
4. AI기반 사용자 맞춤 교육 과정 생성 및 학습 ,q40,1) 전혀 중요하지 않다,3,0.60%
,q40,2) 중요하지 않다,11,2.20%
,q40,3) 보통이다,96,19.20%
,q40,4) 중요하다,250,50.00%
,q40,5) 매우 중요하다,140,28.00%
5. 사용자의 아바타 생성 및 커스트마이징,q41,1) 전혀 중요하지 않다,8,1.60%
,q41,2) 중요하지 않다,27,5.40%
,q41,3) 보통이다,172,34.40%
,q41,4) 중요하다,217,43.40%
,q41,5) 매우 중요하다,76,15.20%
"6. 건축물, 아이템의 쉬운 생성을 위한 AI 기반 제작 툴",q42,1) 전혀 중요하지 않다,5,1.00%
,q42,2) 중요하지 않다,18,3.60%
,q42,3) 보통이다,131,26.20%
,q42,4) 중요하다,231,46.20%
,q42,5) 매우 중요하다,115,23.00%
7. AI를 통한 모니터링 기능으로 부적절한 사용자 자동 차단,q43,1) 전혀 중요하지 않다,2,0.40%
,q43,2) 중요하지 않다,11,2.20%
,q43,3) 보통이다,97,19.40%
,q43,4) 중요하다,184,36.80%
,q43,5) 매우 중요하다,206,41.20%
"메타버스 박물관 서비스의 장점 중에서 귀하가 생각하시는 중요한 순서대로 3순위까지 순위를 매겨주십시오.
1순위",q44_1,1) 시간과 장소에 대한 제약 없이 언제 어디서나 접속할 수 있는 편의성,240,48.00%
,q44_1,2) 전시물 및 다른 사용자들과 소통을 통해 경험을 극대화하는 상호작용,58,11.60%
,q44_1,3) 과거 역사 체험이나 우주 체험 등 현실 박물관에서는 불가능한 체험 활동,126,25.20%
,q44_1,4) 서로 다른 박물관에 소장된 전시물을 한 번에 통합적으로 관람할 수 있는 기능,32,6.40%
,q44_1,5) 현실 박물관과의 연계를 통한 교육적인 시너지 효과,36,7.20%
,q44_1,6) 게이미피케이션을 접목하여 사용자의 몰입도 및 교육 효과성 증가※게이미피케이션 : 동기 부여를 위해 순위 경쟁 등 게임,8,1.60%
"메타버스 박물관 서비스의 장점 중에서 귀하가 생각하시는 중요한 순서대로 3순위까지 순위를 매겨주십시오.
2순위",q44_2,1) 시간과 장소에 대한 제약 없이 언제 어디서나 접속할 수 있는 편의성,84,16.80%
,q44_2,2) 전시물 및 다른 사용자들과 소통을 통해 경험을 극대화하는 상호작용,59,11.80%
,q44_2,3) 과거 역사 체험이나 우주 체험 등 현실 박물관에서는 불가능한 체험 활동,170,34.00%
,q44_2,4) 서로 다른 박물관에 소장된 전시물을 한 번에 통합적으로 관람할 수 있는 기능,102,20.40%
,q44_2,5) 현실 박물관과의 연계를 통한 교육적인 시너지 효과,64,12.80%
,q44_2,6) 게이미피케이션을 접목하여 사용자의 몰입도 및 교육 효과성 증가※게이미피케이션 : 동기 부여를 위해 순위 경쟁 등 게임,21,4.20%
"메타버스 박물관 서비스의 장점 중에서 귀하가 생각하시는 중요한 순서대로 3순위까지 순위를 매겨주십시오.
3순위",q44_3,1) 시간과 장소에 대한 제약 없이 언제 어디서나 접속할 수 있는 편의성,56,11.20%
,q44_3,2) 전시물 및 다른 사용자들과 소통을 통해 경험을 극대화하는 상호작용,56,11.20%
,q44_3,3) 과거 역사 체험이나 우주 체험 등 현실 박물관에서는 불가능한 체험 활동,89,17.80%
,q44_3,4) 서로 다른 박물관에 소장된 전시물을 한 번에 통합적으로 관람할 수 있는 기능,126,25.20%
,q44_3,5) 현실 박물관과의 연계를 통한 교육적인 시너지 효과,121,24.20%
,q44_3,6) 게이미피케이션을 접목하여 사용자의 몰입도 및 교육 효과성 증가※게이미피케이션 : 동기 부여를 위해 순위 경쟁 등 게임,52,10.40%
"메타버스 박물관 서비스가 성공하기 위해서 극복해야 하는 여러 가지 어려움이 있습니다.
	귀하가 생각하시는 영향도가 높은 순서대로 3순위까지 순위를 매겨 주십시오. 
1순위",q45_1,1) 제작사의 초기 플랫폼 제작에 필요한 높은 투자 비용,128,25.60%
,q45_1,2) 사용하기 위해 고가의 VR 헤드셋 등의 별도의 단말기의 보유 필요,155,31.00%
,q45_1,3) 박물관 구축 및 운영의 전문적인 기술 지식과 메타버스 기술 접목의 어려움,77,15.40%
,q45_1,4) 몰입감 넘치는 전용 콘텐츠 제작의 어려움 및 지속적인 관리,77,15.40%
,q45_1,5) 현실의 박물관이 보유하고 있는 저작권 문제 해결,42,8.40%
,q45_1,6) 사용자 유치 및 수익 창출을 통해 경제적 지속 가능성 확보,21,4.20%
"메타버스 박물관 서비스가 성공하기 위해서 극복해야 하는 여러 가지 어려움이 있습니다.
	귀하가 생각하시는 영향도가 높은 순서대로 3순위까지 순위를 매겨 주십시오. 
2순위",q45_2,1) 제작사의 초기 플랫폼 제작에 필요한 높은 투자 비용,71,14.20%
,q45_2,2) 사용하기 위해 고가의 VR 헤드셋 등의 별도의 단말기의 보유 필요,94,18.80%
,q45_2,3) 박물관 구축 및 운영의 전문적인 기술 지식과 메타버스 기술 접목의 어려움,108,21.60%
,q45_2,4) 몰입감 넘치는 전용 콘텐츠 제작의 어려움 및 지속적인 관리,110,22.00%
,q45_2,5) 현실의 박물관이 보유하고 있는 저작권 문제 해결,63,12.60%
,q45_2,6) 사용자 유치 및 수익 창출을 통해 경제적 지속 가능성 확보,54,10.80%
"메타버스 박물관 서비스가 성공하기 위해서 극복해야 하는 여러 가지 어려움이 있습니다.
	귀하가 생각하시는 영향도가 높은 순서대로 3순위까지 순위를 매겨 주십시오. 
3순위",q45_3,1) 제작사의 초기 플랫폼 제작에 필요한 높은 투자 비용,74,14.80%
,q45_3,2) 사용하기 위해 고가의 VR 헤드셋 등의 별도의 단말기의 보유 필요,63,12.60%
,q45_3,3) 박물관 구축 및 운영의 전문적인 기술 지식과 메타버스 기술 접목의 어려움,78,15.60%
,q45_3,4) 몰입감 넘치는 전용 콘텐츠 제작의 어려움 및 지속적인 관리,121,24.20%
,q45_3,5) 현실의 박물관이 보유하고 있는 저작권 문제 해결,87,17.40%
,q45_3,6) 사용자 유치 및 수익 창출을 통해 경제적 지속 가능성 확보,77,15.40%
다음은 “메타버스 박물관 이용 시” 귀하께서 느낄 수 있는 여러 기능상 애로사항에 대한 질문입니다. 동의하는 정도에 표시해 주시기 바랍니다.,,,,
1. 메타버스 박물관은 기존의 박물관 관람 방식에 비해 더 나은 가치를 제공하지 않는다.,q46,1) 전혀 그렇지 않다,17,3.40%
,q46,2) 그렇지 않다,114,22.80%
,q46,3) 보통이다,230,46.00%
,q46,4) 그렇다,120,24.00%
,q46,5) 매우 그렇다,19,3.80%
2. 메타버스 박물관 이용에 드는 비용이 얻을 수 있는 혜택에 비해 크다.,q47,1) 전혀 그렇지 않다,5,1.00%
,q47,2) 그렇지 않다,69,13.80%
,q47,3) 보통이다,238,47.60%
,q47,4) 그렇다,156,31.20%
,q47,5) 매우 그렇다,32,6.40%
3. 메타버스 박물관은 실제 박물관 경험을 대체할 만한 가치가 없다.,q48,1) 전혀 그렇지 않다,26,5.20%
,q48,2) 그렇지 않다,173,34.60%
,q48,3) 보통이다,190,38.00%
,q48,4) 그렇다,91,18.20%
,q48,5) 매우 그렇다,20,4.00%
4. 메타버스 박물관에서 제공하는 콘텐츠의 질이 실제 박물관에 비해 떨어진다.,q49,1) 전혀 그렇지 않다,10,2.00%
,q49,2) 그렇지 않다,80,16.00%
,q49,3) 보통이다,190,38.00%
,q49,4) 그렇다,171,34.20%
