,category,name,count,p_count
3,q45_3,4) 몰입감 넘치는 전용 콘텐츠 제작의 어려움 및 지속적인 관리,121,24.2%
4,q45_3,5) 현실의 박물관이 보유하고 있는 저작권 문제 해결,87,17.4%
5,q45_3,6) 사용자 유치 및 수익 창출을 통해 경제적 지속 가능성 확보,77,15.4%
0,q46,1) 전혀 그렇지 않다,17,3.4000000000000004%
1,q46,2) 그렇지 않다,114,22.8%
2,q46,3) 보통이다,230,46.0%
3,q46,4) 그렇다,120,24.0%
4,q46,5) 매우 그렇다,19,3.8%
0,q47,1) 전혀 그렇지 않다,5,1.0%
1,q47,2) 그렇지 않다,69,13.8%
2,q47,3) 보통이다,238,47.599999999999994%
3,q47,4) 그렇다,156,31.2%
4,q47,5) 매우 그렇다,32,6.4%
0,q48,1) 전혀 그렇지 않다,26,5.2%
1,q48,2) 그렇지 않다,173,34.599999999999994%
2,q48,3) 보통이다,190,38.0%
3,q48,4) 그렇다,91,18.2%
4,q48,5) 매우 그렇다,20,4.0%
0,q49,1) 전혀 그렇지 않다,10,2.0%
1,q49,2) 그렇지 않다,80,16.0%
2,q49,3) 보통이다,190,38.0%
3,q49,4) 그렇다,171,34.2%
4,q49,5) 매우 그렇다,49,9.8%
0,q50,1) 전혀 그렇지 않다,20,4.0%
1,q50,2) 그렇지 않다,119,23.799999999999997%
2,q50,3) 보통이다,206,41.199999999999996%
3,q50,4) 그렇다,126,25.2%
4,q50,5) 매우 그렇다,29,5.800000000000001%
0,q51,1) 전혀 그렇지 않다,12,2.4%
1,q51,2) 그렇지 않다,67,13.4%
2,q51,3) 보통이다,203,40.6%
3,q51,4) 그렇다,183,36.6%
4,q51,5) 매우 그렇다,35,7.000000000000001%
0,q52,1) 전혀 그렇지 않다,19,3.8%
1,q52,2) 그렇지 않다,107,21.4%
2,q52,3) 보통이다,226,45.2%
3,q52,4) 그렇다,121,24.2%
4,q52,5) 매우 그렇다,27,5.4%
0,q53,1) 전혀 그렇지 않다,6,1.2%
1,q53,2) 그렇지 않다,91,18.2%
2,q53,3) 보통이다,193,38.6%
3,q53,4) 그렇다,181,36.199999999999996%
4,q53,5) 매우 그렇다,29,5.800000000000001%
0,q54,1) 전혀 그렇지 않다,9,1.7999999999999998%
1,q54,2) 그렇지 않다,41,8.200000000000001%
2,q54,3) 보통이다,133,26.6%
3,q54,4) 그렇다,226,45.2%
4,q54,5) 매우 그렇다,91,18.2%
0,q55,1) 전혀 그렇지 않다,31,6.2%
1,q55,2) 그렇지 않다,123,24.6%
2,q55,3) 보통이다,203,40.6%
3,q55,4) 그렇다,114,22.8%
4,q55,5) 매우 그렇다,29,5.800000000000001%
0,q56,1) 전혀 그렇지 않다,15,3.0%
1,q56,2) 그렇지 않다,67,13.4%
2,q56,3) 보통이다,155,31.0%
3,q56,4) 그렇다,212,42.4%
4,q56,5) 매우 그렇다,51,10.2%
0,q57,1) 전혀 그렇지 않다,9,1.7999999999999998%
1,q57,2) 그렇지 않다,38,7.6%
2,q57,3) 보통이다,149,29.799999999999997%
3,q57,4) 그렇다,227,45.4%
4,q57,5) 매우 그렇다,77,15.4%
0,q58,1) 전혀 그렇지 않다,3,0.6%
1,q58,2) 그렇지 않다,58,11.600000000000001%
2,q58,3) 보통이다,173,34.599999999999994%
3,q58,4) 그렇다,238,47.599999999999994%
4,q58,5) 매우 그렇다,28,5.6000000000000005%
0,q59,1) 전혀 그렇지 않다,8,1.6%
1,q59,2) 그렇지 않다,117,23.400000000000002%
2,q59,3) 보통이다,174,34.8%
3,q59,4) 그렇다,171,34.2%
4,q59,5) 매우 그렇다,30,6.0%
0,q60,1) 전혀 그렇지 않다,10,2.0%
1,q60,2) 그렇지 않다,105,21.0%
2,q60,3) 보통이다,175,35.0%
3,q60,4) 그렇다,183,36.6%
4,q60,5) 매우 그렇다,27,5.4%
0,q61,1) 전혀 그렇지 않다,11,2.1999999999999997%
1,q61,2) 그렇지 않다,78,15.6%
2,q61,3) 보통이다,184,36.8%
3,q61,4) 그렇다,178,35.6%
4,q61,5) 매우 그렇다,49,9.8%
0,q62,1) 전혀 그렇지 않다,10,2.0%
1,q62,2) 그렇지 않다,78,15.6%
2,q62,3) 보통이다,160,32.0%
3,q62,4) 그렇다,185,37.0%
4,q62,5) 매우 그렇다,67,13.4%
0,q63,1) 전혀 그렇지 않다,5,1.0%
1,q63,2) 그렇지 않다,70,14.000000000000002%
2,q63,3) 보통이다,137,27.400000000000002%
3,q63,4) 그렇다,209,41.8%
4,q63,5) 매우 그렇다,79,15.8%
0,q64,1) 전혀 그렇지 않다,7,1.4000000000000001%
1,q64,2) 그렇지 않다,64,12.8%
2,q64,3) 보통이다,152,30.4%
3,q64,4) 그렇다,218,43.6%
4,q64,5) 매우 그렇다,59,11.799999999999999%
0,q65,1) 전혀 그렇지 않다,12,2.4%
1,q65,2) 그렇지 않다,75,15.0%
2,q65,3) 보통이다,157,31.4%
3,q65,4) 그렇다,202,40.400000000000006%
4,q65,5) 매우 그렇다,54,10.8%
0,q66,1) 전혀 그렇지 않다,8,1.6%
1,q66,2) 그렇지 않다,37,7.3999999999999995%
2,q66,3) 보통이다,168,33.6%
3,q66,4) 그렇다,247,49.4%
4,q66,5) 매우 그렇다,40,8.0%
0,q67,1) 전혀 그렇지 않다,20,4.0%
1,q67,2) 그렇지 않다,51,10.2%
2,q67,3) 보통이다,248,49.6%
3,q67,4) 그렇다,154,30.8%
4,q67,5) 매우 그렇다,27,5.4%
0,q68,1) 전혀 그렇지 않다,11,2.1999999999999997%
1,q68,2) 그렇지 않다,39,7.8%
2,q68,3) 보통이다,190,38.0%
3,q68,4) 그렇다,212,42.4%
4,q68,5) 매우 그렇다,48,9.6%
0,q69,1) 전혀 그렇지 않다,11,2.1999999999999997%
1,q69,2) 그렇지 않다,42,8.4%
2,q69,3) 보통이다,166,33.2%
3,q69,4) 그렇다,219,43.8%
4,q69,5) 매우 그렇다,62,12.4%
0,q70,1) 전혀 그렇지 않다,2,0.4%
1,q70,2) 그렇지 않다,56,11.200000000000001%
2,q70,3) 보통이다,136,27.200000000000003%
3,q70,4) 그렇다,264,52.800000000000004%
4,q70,5) 매우 그렇다,42,8.4%
0,q71,1) 전혀 그렇지 않다,3,0.6%
1,q71,2) 그렇지 않다,53,10.6%
2,q71,3) 보통이다,143,28.599999999999998%
3,q71,4) 그렇다,240,48.0%
4,q71,5) 매우 그렇다,61,12.2%
0,q72,1) 전혀 그렇지 않다,7,1.4000000000000001%
1,q72,2) 그렇지 않다,56,11.200000000000001%
2,q72,3) 보통이다,124,24.8%
3,q72,4) 그렇다,248,49.6%
4,q72,5) 매우 그렇다,65,13.0%
0,q73,1) 전혀 그렇지 않다,5,1.0%
1,q73,2) 그렇지 않다,40,8.0%
2,q73,3) 보통이다,125,25.0%
3,q73,4) 그렇다,261,52.2%
4,q73,5) 매우 그렇다,69,13.8%
0,q74,1) 전혀 그렇지 않다,71,14.2%
1,q74,2) 그렇지 않다,194,38.800000000000004%
2,q74,3) 보통이다,153,30.599999999999998%
3,q74,4) 그렇다,66,13.200000000000001%
4,q74,5) 매우 그렇다,16,3.2%
0,q75,1) 전혀 그렇지 않다,31,6.2%
1,q75,2) 그렇지 않다,109,21.8%
2,q75,3) 보통이다,218,43.6%
3,q75,4) 그렇다,104,20.8%
4,q75,5) 매우 그렇다,38,7.6%
0,q76,1) 전혀 그렇지 않다,62,12.4%
1,q76,2) 그렇지 않다,211,42.199999999999996%
2,q76,3) 보통이다,148,29.599999999999998%
3,q76,4) 그렇다,66,13.200000000000001%
4,q76,5) 매우 그렇다,13,2.6%
0,q77,1) 전혀 그렇지 않다,56,11.200000000000001%
1,q77,2) 그렇지 않다,200,40.0%
2,q77,3) 보통이다,179,35.8%
3,q77,4) 그렇다,49,9.8%
4,q77,5) 매우 그렇다,16,3.2%
0,q78,1) 전혀 그렇지 않다,56,11.200000000000001%
1,q78,2) 그렇지 않다,179,35.8%
2,q78,3) 보통이다,189,37.8%
3,q78,4) 그렇다,64,12.8%
4,q78,5) 매우 그렇다,12,2.4%
0,q79,1) 전혀 그렇지 않다,39,7.8%
1,q79,2) 그렇지 않다,147,29.4%
2,q79,3) 보통이다,212,42.4%
3,q79,4) 그렇다,90,18.0%
4,q79,5) 매우 그렇다,12,2.4%
0,q80,1) 전혀 그렇지 않다,79,15.8%
1,q80,2) 그렇지 않다,214,42.8%
2,q80,3) 보통이다,153,30.599999999999998%
3,q80,4) 그렇다,45,9.0%
4,q80,5) 매우 그렇다,9,1.7999999999999998%
0,q81,1) 전혀 그렇지 않다,75,15.0%
1,q81,2) 그렇지 않다,201,40.2%
2,q81,3) 보통이다,162,32.4%
3,q81,4) 그렇다,54,10.8%
4,q81,5) 매우 그렇다,8,1.6%
0,q82,1) 지불의향 있음,126,25.2%
1,q82,2) 지불의향 없음,374,74.8%
0,q83,1) 지불의향 있음,45,35.714285714285715%
1,q83,2) 지불의향 없음,81,64.28571428571429%
0,q84,1) 지불의향 있음,71,18.983957219251337%
1,q84,2) 지불의향 없음,303,81.01604278074866%
0,q85,1) 지불의향 있음,73,24.09240924092409%
1,q85,2) 지불의향 전혀 없음,230,75.9075907590759%
0,q86_1,1) 박물관을 직접 방문하여 실제로 체감하는 것이 더 효율적이다.,130,100.0%
0,q86_2,2) 실제 학습에 거의 도움이 되지 않을 것으로 생각된다.,50,100.0%
0,q86_3,3) 현재 인터넷 검색 등으로 필요한 정보를 충분히 찾을 수 있다.,90,100.0%
0,q86_4,4) 실재감 있는 서비스 제공이 현재의 기술로는 부족하다고 생각한다.,74,100.0%
0,q86_5,5) 추가적인 세금 납부가 부담된다.,112,100.0%
0,q86_6,6) 기타(구체적으로 응답해 주십시오),6,100.0%
0,q86_6_A,세금으로 만들거면서 세금 걷는다는게 뭔 소리요,1,16.666666666666664%
1,q86_6_A,신뢰할 수 있는 정부로 바뀌면 고려할 것이다.,1,16.666666666666664%
2,q86_6_A,아이들과 함께 시간보내기가 어렵다,1,16.666666666666664%
3,q86_6_A,요금이 비싸다,1,16.666666666666664%
4,q86_6_A,원할때만 이용하고 싶다,1,16.666666666666664%
5,q86_6_A,흡연등  과태료를 대폭 올려 충당,1,16.666666666666664%
0,q87,1) 유형A,43,8.6%
1,q87,2) 유형B,220,44.0%
2,q87,3) 유형C,116,23.200000000000003%
3,q87,4) 유형D,121,24.2%
0,q88,1) 유형A,92,18.4%
1,q88,2) 유형B,280,56.00000000000001%
2,q88,3) 유형C,59,11.799999999999999%
3,q88,4) 유형D,69,13.8%
0,q89,1) 유형A,60,12.0%
1,q89,2) 유형B,160,32.0%
2,q89,3) 유형C,175,35.0%
3,q89,4) 유형D,105,21.0%
0,q90,1) 유형A,105,21.0%
1,q90,2) 유형B,248,49.6%
2,q90,3) 유형C,68,13.600000000000001%
3,q90,4) 유형D,79,15.8%
0,q91,1) 유형A,32,6.4%
1,q91,2) 유형B,91,18.2%
2,q91,3) 유형C,239,47.8%
3,q91,4) 유형D,138,27.6%
0,q92,1) 유형A,183,36.6%
1,q92,2) 유형B,173,34.599999999999994%
2,q92,3) 유형C,54,10.8%
3,q92,4) 유형D,90,18.0%
0,q93,1) 유형A,59,11.799999999999999%
1,q93,2) 유형B,233,46.6%
2,q93,3) 유형C,60,12.0%
3,q93,4) 유형D,148,29.599999999999998%
0,q94,1) 유형A,168,33.6%
1,q94,2) 유형B,155,31.0%
2,q94,3) 유형C,90,18.0%
3,q94,4) 유형D,87,17.4%
0,q95,1) 유형A,251,50.2%
1,q95,2) 유형B,78,15.6%
2,q95,3) 유형C,137,27.400000000000002%
3,q95,4) 유형D,34,6.800000000000001%
0,q96,1) 유형A,70,14.000000000000002%
1,q96,2) 유형B,175,35.0%
2,q96,3) 유형C,106,21.2%
3,q96,4) 유형D,149,29.799999999999997%
0,q97_1,1,61,12.2%
1,q97_1,2,36,7.199999999999999%
2,q97_1,3,166,33.2%
3,q97_1,4,211,42.199999999999996%
4,q97_1,5,22,4.3999999999999995%
5,q97_1,6,4,0.8%
0,q98_1,0.0,276,63.013698630136986%
1,q98_1,1.0,119,27.168949771689498%
2,q98_1,2.0,42,9.58904109589041%
3,q98_1,3.0,1,0.228310502283105%
0,q98_2,0.0,237,53.98633257403189%
1,q98_2,1.0,160,36.44646924829157%
2,q98_2,2.0,39,8.88382687927107%
3,q98_2,3.0,3,0.683371298405467%
0,q98_3,0.0,347,79.04328018223235%
1,q98_3,1.0,75,17.084282460136674%
2,q98_3,2.0,17,3.8724373576309796%
0,q98_4,0.0,1,0.228310502283105%
1,q98_4,1.0,8,1.82648401826484%
2,q98_4,2.0,348,79.45205479452055%
3,q98_4,3.0,47,10.730593607305936%
4,q98_4,4.0,29,6.621004566210045%
5,q98_4,5.0,5,1.141552511415525%
0,q98_t1,2.0,36,8.200455580865604%
1,q98_t1,3.0,166,37.81321184510251%
2,q98_t1,4.0,211,48.063781321184514%
3,q98_t1,5.0,22,5.0113895216400905%
4,q98_t1,6.0,4,0.9111617312072893%
0,q99_1,0,5,1.0%
1,q99_1,1,3,0.6%
2,q99_1,3,1,0.2%
3,q99_1,4,4,0.8%
4,q99_1,10,1,0.2%
5,q99_1,12,31,6.2%
6,q99_1,13,3,0.6%
7,q99_1,14,103,20.599999999999998%
8,q99_1,15,3,0.6%
9,q99_1,16,280,56.00000000000001%
10,q99_1,17,3,0.6%
11,q99_1,18,50,10.0%
12,q99_1,19,2,0.4%
13,q99_1,20,5,1.0%
14,q99_1,21,1,0.2%
15,q99_1,22,5,1.0%
0,q100,1) 자영업,26,5.2%
1,q100,2) 판매/서비스직,35,7.000000000000001%
2,q100,3) 사무/기술직,226,45.2%
3,q100,4) 전문직,44,8.799999999999999%
4,q100,5) 경영/관리직,26,5.2%
5,q100,6) 전업주부,115,23.0%
6,q100,7) 학생,3,0.6%
7,q100,8) 무직,10,2.0%
8,q100,9) 기타,15,3.0%
0,q100_9,공무,1,6.666666666666667%
1,q100_9,교사,1,6.666666666666667%
2,q100_9,사서,1,6.666666666666667%
3,q100_9,생산,1,6.666666666666667%
4,q100_9,생산직,2,13.333333333333334%
5,q100_9,아르바이트,1,6.666666666666667%
6,q100_9,영업,1,6.666666666666667%
7,q100_9,작품강사,1,6.666666666666667%
8,q100_9,파트타임,1,6.666666666666667%
9,q100_9,프리랜서,5,33.33333333333333%
0,q101,1) 99만원 이하,3,0.6%
1,q101,"10) 1,000만원 이상",40,8.0%
2,q101,2) 100만원-149만원 이하,2,0.4%
3,q101,3) 150만원-199만원 이하,9,1.7999999999999998%
4,q101,4) 200만원-249만원 이하,32,6.4%
5,q101,5) 250만원-299만원 이하,39,7.8%
6,q101,6) 300만원-399만원 이하,67,13.4%
7,q101,7) 400만원-499만원 이하,79,15.8%
8,q101,8) 500만원-699만원 이하,139,27.800000000000004%
9,q101,9) 700만원-999만원 이하,90,18.0%
0,q102,1) 소득 없음,46,9.2%
1,q102,10) 700만원-999만원 이하,51,10.2%
2,q102,"11) 1,000만원 이상",23,4.6%
3,q102,2) 99만원 이하,29,5.800000000000001%
4,q102,3) 100만원-149만원 이하,18,3.5999999999999996%
5,q102,4) 150만원-199만원 이하,22,4.3999999999999995%
6,q102,5) 200만원-249만원 이하,44,8.799999999999999%
7,q102,6) 250만원-299만원 이하,55,11.0%
8,q102,7) 300만원-399만원 이하,67,13.4%
9,q102,8) 400만원-499만원 이하,73,14.6%
10,q102,9) 500만원-699만원 이하,72,14.399999999999999%
